WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
TEH 895,TEH 895,40.223,-122.355,TCE,ND,0,UG/L,6/1/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 755,TEH 755,40.237,-122.239,TCE,ND,0,UG/L,5/4/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 687,TEH 687,40.268,-122.397,TCE,ND,0,UG/L,4/19/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 829,TEH 829,40.177,-122.343,TCE,ND,0,UG/L,6/1/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 798,TEH 798,40.24,-122.205,TCE,ND,0,UG/L,5/3/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 702,TEH 702,40.294,-122.351,TCE,ND,0,UG/L,4/12/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 764,TEH 764,40.252,-122.22,TCE,ND,0,UG/L,4/28/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 767,TEH 767,40.044,-122.113,TCE,ND,0,UG/L,4/27/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 756,TEH 756,40.236,-122.24,TCE,ND,0,UG/L,5/4/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 794,TEH 794,40.246,-122.208,TCE,ND,0,UG/L,5/11/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 898,TEH 898,40.044,-122.095,TCE,ND,0,UG/L,5/25/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 751,TEH 751,40.231,-122.199,TCE,ND,0,UG/L,4/27/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 842,TEH 842,40.009,-122.083,TCE,ND,0,UG/L,5/17/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 877,TEH 877,40.014,-122.086,TCE,ND,0,UG/L,5/25/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 832,TEH 832,40.021,-122.091,TCE,ND,0,UG/L,5/20/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 804,TEH 804,40.274,-122.262,TCE,ND,0,UG/L,5/10/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 838,TEH 838,40.041,-122.091,TCE,ND,0,UG/L,5/19/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 855,TEH 855,40.243,-122.206,TCE,ND,0,UG/L,5/20/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 870,TEH 870,40.048,-122.105,TCE,ND,0,UG/L,5/24/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 649,TEH 649,40.286,-122.341,TCE,ND,0,UG/L,4/5/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 744,TEH 744,40.246,-122.2,TCE,ND,0,UG/L,5/3/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
