WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
GA0000000908,TUL908,36.353,-119.163,DBCP,ND,0,UG/L,4/18/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),26,14
GA1462079703,TUL1104,36.196,-118.827,DBCP,ND,0,UG/L,6/22/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,26,16
GA9147840201,TUL980,36.174,-118.791,DBCP,ND,0,UG/L,6/6/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,26,16
GA5277082145,TUL982,36.145,-118.884,DBCP,ND,0,UG/L,5/16/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,26,16
GA7095594108,TUL971,36.549,-119.244,DBCP,ND,0,UG/L,5/11/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KINGS (5-22.08),26,14
GA4926480948,TUL1085,36.593,-119.244,DBCP,ND,0,UG/L,6/20/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,26,14
GA3953229606,TUL955,36.014,-118.989,DBCP,ND,0,UG/L,4/25/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GA5615323722,TUL1097,36.219,-118.804,DBCP,ND,0,UG/L,6/22/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,26,16
GA7473111808,TUL1094,36.476,-119.129,DBCP,ND,0,UG/L,6/21/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),23,8
GA1731244742,TUL947,35.92,-119.268,DBCP,ND,0,UG/L,4/25/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GA3823041617,TUL941,36.196,-119.283,DBCP,ND,0,UG/L,4/25/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),26,16
GA4756879508,TUL983,36.302,-119.117,DBCP,ND,0,UG/L,5/17/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),26,16
GA4637815177,TUL959,36.004,-119.011,DBCP,ND,0,UG/L,5/9/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GA6222455680,TUL998,36.06,-118.861,DBCP,ND,0,UG/L,5/17/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,26,16
GA9687543570,TUL990,36.048,-118.93,DBCP,ND,0,UG/L,5/16/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,16
GCWC10000001,SK01,35.241,-118.955,DBCP,ND,0,UG/L,10/20/2015,WATER SUPPLY (WELLS),GAMA,KERN,5,SAN JOAQUIN VALLEY - KERN COUNTY (5-22.14),32,14
GCWC10000001,SK03,35.248,-118.962,DBCP,ND,0,UG/L,10/20/2015,WATER SUPPLY (WELLS),GAMA,KERN,5,SAN JOAQUIN VALLEY - KERN COUNTY (5-22.14),32,14
GCWC10000001,SK02,35.243,-118.954,DBCP,ND,0,UG/L,10/20/2015,WATER SUPPLY (WELLS),GAMA,KERN,5,SAN JOAQUIN VALLEY - KERN COUNTY (5-22.14),32,14
